Folkušová,038 42,35
Forbaky - Klukany,013 32,79
Forbasy,065 01,63
Francovce,087 01,65
Frička,086 02,4
Fričkovce,086 42,4
Fričovce,082 37,49
Fulianka,082 12,49
Furmanec,082 67,49
Gabčíkovo,930 05,15
Gaboltov,086 02,4
Gajary,900 61,34
Gajdoš,072 43,61
Galanta,924 01,16
Galovany,032 11,32
Gáň,924 01,16
Gánovce,058 01,47
Gápel,972 28,50
Gaškovce,020 53,51
Gašparovo,976 64,10
Gbeľany,013 02,79
Gbelce,943 42,42
Gbely,908 45,59
Geča č. 107-110,044 14,27
Geča,044 10,27
Gelnica,056 01,17
Gemer,982 01,52
Gemerček,980 31,53
Gemerská Hôrka,049 12,54
Gemerská Panica,980 46,54
Gemerská Poloma,049 22,54
Gemerská Ves,982 62,52
Gemerské Dechtáre,980 04,53
Gemerské Michalovce,982 52,53
Gemerské Teplice,049 16,52
Gemerský Jablonec,980 35,53
Gemerský Milhosť,049 16,52
Gemerský Sad,049 13,52
Géňa,934 01,30
Geraltov,082 67,49
Gerlachov,059 42,47
Gerlachov,086 04,4
Giglovce,094 05,74
Giraltovce,087 01,65
Girovce,094 06,74
Glabušovce,991 22,73
Gočaltovo,049 32,54
Gočovo,049 24,54
Golianovo,951 08,40
Gomboš,044 55,27
Gondovo,935 25,30
Gorazdov,951 31,66
Gortva,980 02,53
Gôtovany,032 14,32
Grajciar,044 57,27
Granč - Petrovce,053 05,31
Gregorova Vieska,985 56,33
Gregorovce,082 66,49
Gregorovce,982 52,52
Gribov,090 22,64
Grodzin,094 31,74
Grúne,027 05,14
Gruzovce,067 22,19
Gúg,941 23,42
Gyňov,044 14,27
Habovka,027 32,72
Habura,067 52,36
Hačava,044 02,27
Hačava,981 01,53
Hadoše,018 02,48
Hadovce,945 01,22
Hadušovce,053 13,62
Hadviga,038 22,71
Hágy,059 04,21
Háj,039 01,71
Háj,044 02,27
Hájiky - Maky,987 01,46
Hajná Nová Ves,956 03,67
Hajnáčka,980 33,53
Hájniky,962 31,76
Hájske,951 33,66
Hajtovka,065 45,63
Haláčovce,956 55,1
Halič,985 11,33
Haligovce,065 34,63
Haluzice,913 07,41
Hámor,976 66,10
Hámre,053 33,17
Hámre,913 21,69
Hámre - Dolné Hámre,966 61,77
Hámre - Horné Hámre,966 71,77
Hamuliakovo,900 43,57
Handlová,972 51,50
Hanigovce,082 56,56
Haniska,044 57,27
Haniska,080 01,49
Hanková,049 34,54
Hankovce,067 12,19
Hankovce,086 46,4
Hanušovce nad Topľou,094 31,74
Harakovce,053 05,31
Harhaj,086 45,4
Harichovce,053 01,62
Harmanec,976 03,2
Harmónia,900 01,44
Harvelka,023 05,12
Hatalov,072 16,37
Hatné,018 02,48
Havaj,090 23,64
Havka,061 01,21
Havran,906 04,58
Havranec,090 02,65
Havrania,027 05,14
Havrania Dolina,053 76,62
Hažín,072 34,37
Hažín nad Cirochou,067 83,19
Hažlín,086 14,4
Heďbeneéte,929 01,15
Helcmanovce,055 63,17
Heľpa,976 68,10
Henckovce,049 23,54
Henclová,053 33,17
Hencovce,093 02,74
Hendrichovce,082 35,49
Herľany,044 45,27
Herman,985 53,33
Hermanovce,082 35,49
Hermanovce nad Topľou,094 34,74
Hertník,086 42,4
Hervartov,086 22,4
Hetméň,927 01,66
Hiadeľ,976 61,2
Hincovce,053 63,62
Hladovka,027 13,72
Hlavice,023 22,12
Hlboké,018 03,48
Hlboké,906 31,58
Hlboké nad Váhom,014 01,11
Hlinené,023 54,12
Hliník,032 23,32
Hliník,945 01,22
Hliník nad Hronom,966 01,78
Hliník nad Váhom,014 01,11
Hlinné,094 35,74
Hlivištia,073 01,61
Hlohovec,,18
Hloža,018 61,51
Hniezdne,065 01,63
Hnilčík,053 32,62
Hnilec,053 75,62
Hnojné,072 33,37
Hnúšťa,981 01,53
Hodejov,980 31,53
Hodejovec,980 02,53
Hodkovce,044 21,27
Hodkovce,053 61,62
Hodruša - Hámre,966 61,77
Hodulov Vrch,916 14,38
Hokovce,935 84,30
Holanovo,947 01,22
Holčíkovce,094 05,74
Holiare,946 16,22
Holice,930 34,15
Holíč,908 51,59
Holiša,985 57,33
Holotka,951 42,40
Holumnica,059 94,21
Honce,049 32,54
Hontianska Vrbica,935 55,30
Hontianske Moravce,962 71,28
Hontianske Nemce,962 65,28
Hontianske Tesáre,962 68,28
Hontianske Trsťany,935 86,30
Horelica,022 01,12
Horenická Hôrka,020 61,51
Horňa,073 01,61
Horná Breznica,020 61,51
Horná Dolina,906 05,58
Horná Hriňová,962 05,13
Horná Kráľová,951 32,66
Horná Krupá,919 65,70
Horná Lehota,027 41,14
Horná Lehota,976 81,10
Horná Mariková,018 03,48
Horná Mičiná,974 01,2
Horná Môlča,974 01,2
Horná Poruba,018 35,20
Horná Potôň,930 36,15
Horná Potôň - Lúky,930 52,15
Horná Seč,935 31,30
Horná Streda,916 24,41
Horná Strehová,991 02,73
Horná Súča,913 33,69
